[30-Mar-2025 23:45:46 UTC] PHP Warning:  Undefined property: WP_Ajax_Upgrader_Skin::$api in /workspaces/Assignment4/.wordpress/wp-admin/includes/class-theme-upgrader.php on line 160
[30-Mar-2025 23:56:26 UTC] PHP Warning:  Undefined variable $indicator_pro_installed in /workspaces/Assignment4/.wordpress/wp-content/themes/shuttle-raid/functions.php on line 103
[30-Mar-2025 23:56:26 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Assignment4/.wordpress/wp-content/themes/shuttle-raid/functions.php:103) in /workspaces/Assignment4/.wordpress/wp-includes/pluggable.php on line 1435
[30-Mar-2025 23:56:26 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/Assignment4/.wordpress/wp-content/themes/shuttle-raid/functions.php:103) in /workspaces/Assignment4/.wordpress/wp-includes/pluggable.php on line 1438
[31-Mar-2025 22:04:32 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 4096 bytes) in /workspaces/Assignment4/.wordpress/wp-includes/class-wp-theme-json.php on line 1267
[31-Mar-2025 22:04:33 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 4096 bytes) in /workspaces/Assignment4/.wordpress/wp-includes/class-wp-theme-json.php on line 4240
[31-Mar-2025 22:04:33 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 4096 bytes) in /workspaces/Assignment4/.wordpress/wp-includes/class-wp-theme-json.php on line 4240
[31-Mar-2025 22:04:33 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 4096 bytes) in /workspaces/Assignment4/.wordpress/wp-includes/functions.php on line 4946
[31-Mar-2025 22:04:33 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 4096 bytes) in /workspaces/Assignment4/.wordpress/wp-includes/class-wp-theme-json.php on line 1267
[31-Mar-2025 22:04:34 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 4096 bytes) in /workspaces/Assignment4/.wordpress/wp-includes/class-wp-theme-json.php on line 4240
[31-Mar-2025 22:04:34 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 4096 bytes) in /workspaces/Assignment4/.wordpress/wp-includes/functions.php on line 4946
[31-Mar-2025 22:05:04 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-includes/class-wp-admin-bar.php on line 473
